tytuł;klasa;katsiedlecki;nr;tonacja;naco;tekst
Nie lękajcie się;1;;641;C;0/0/1/0/0/0;"*
Nie lękajcie się, ja jestem z wami,
nie lękajcie się, ja jestem z wami
Nie lękajcie się, Bóg jest miłością,
nie lękajcie się, trwajcie mocni w wierze
**
1.
Ty jesteś skałą zbawienia
Jedyną naszą ostoją
Przychodzimy do Ciebie po światło
Ulecz nasze serca, zmartwychwstać daj
*
Nie lękajcie się, ja jestem z wami…
2.
Pomóż nam wytrwać przy Tobie
Być wiernym w wierze przez życia czas
Tylko w Tobie cała nasza nadzieja
Miłosierdziem swoim uzdrawiaj nas
*
Nie lękajcie się, ja jestem z wami…
3.
Przekażcie światu Mój ogień
Pokoju i miłosierdzia
Nieście wszystkim orędzie nadziei
Moje światło niech świeci wśród was
*
Nie lękajcie się, ja jestem z wami…"
Nie opuszczaj nas;1;;647;G;0/0/0/0/1/0;"1.
Nie opuszczaj nas, nie opuszczaj nas
*
Jezu, nie opuszczaj nas
**
Tyś powiedział, że na ziemi
Nie zostawisz nas samymi
Twoje serce czuło w niebie
Jak nam ciężko żyć bez Ciebie
2.
Nie opuszczaj nas, nie opuszczaj nas
Jezu, nie opuszczaj nas
Gdzie pociechę my znajdziemy
Gdzie łzy żalu ukoimy?
W sercu Twoim tylko, Panie,
I pociecha i wytrwanie
3.
Nie opuszczaj nas, nie opuszczaj nas
Jezu, nie opuszczaj nas
W serca Twego słodkiej ranie
Wszystko mamy, dobry Panie
Tam ucieczka, tam schronienie
Tam wesele, tam wzmocnienie
<hr />
1.
Nie opuszczaj nas, nie opuszczaj nas
*
Matko, nie opuszczaj nas
**
Matko, pociesz, bo płaczemy
Matko, prowadź, bo zginiemy
Ucz nas kochać, choć w cierpieniu
Ucz nas cierpieć, lecz w milczeniu
2.
Nie opuszczaj nas, nie opuszczaj nas
Matko, nie opuszczaj nas
Cóż dziwnego, że łzy płyną
Gdy to życie łez doliną
Dusza smutkiem zamroczona
Pod ciężarem krzyża kona
3.
Nie opuszczaj nas, nie opuszczaj nas
Matko, nie opuszczaj nas
Wyjednało Twe wstawienie
Nie jednemu już zbawienie
Kto swą ufność w Tobie złożył
Nowem łaski życia ożył"
Nie rzucim, Chryste;2;Hymny;649;e;0/0/0/0/1/0;"1.
Nie rzucim, Chryste, świątyń Twych,
Nie damy pogrześć wiary!
Próżne zakusy duchów złych
i próżne ich zamiary.
Bronić będziemy Twoich dróg.
Tak nam dopomóż Bóg! =
2.
Ze wszystkich świątyń, chat i pól
Popłynie hymn wspaniały;
Niech żyje Jezus Chrystus Król
w koronie wiecznej chwały!
Niech, żyje Maria! Zagrzmi róg.
Tak nam dopomóż Bóg! = 
3.
I taki triumf, taki cud
Powieje z Jasnej Góry
I z taką wiarą ruszy lud
Synowie Polski, córy,
Że jak mgławica pierzchnie wróg.
Tak nam dopomóż Bóg! ="
Nie zna śmierci Pan żywota;8;Pieśni na Wielkanoc;655;F;0/1/0/0/0/0;
Niebiosa, rosę;5;Pieśni na Adwent;656;d;0/0/0/0/0/od 17 grudnia;"1.
*
Niebiosa, rosę spuśćcie nam z góry
Sprawiedliwego wylejcie chmury.
**
O, wstrzymaj, wstrzymaj, Twoje zagniewanie
i grzechów naszych zapomnij już, Panie.
2.
*
Niebiosa, rosę…
**
O, spojrzyj, spojrzyj na lud Twój znękany
i ześlij Tego, co ma być zesłany.
3.
*
Niebiosa, rosę…
**
Pociesz się, ludu, pociesz w twej niedoli,
już się przybliża kres twojej niewoli.
4.
*
Niebiosa, rosę…
**
Roztwórz się ziemio i z łona twojego
wydaj nam, wydaj już Zbawcę naszego!"
Niech będzie chwała;1;;0;F;0/0/0/1/0/0;"Niech będzie chwała i cześć, i uwielbienie
Chwała i cześć Jezusowi
Chwała, niech będzie chwała
Tak, Jemu chwała i cześć"
Niech w święto radosne;2;Śpiewy na Wielki Tydzień;672;c;0/0/0/0/0/Sekwencja;
Niechaj będzie pochwalony;2;Pieśni do Najświętszego Sakramentu/Nabożeństwa;1308;C;0/0/0/0/0/0;"Niechaj będzie pochwalony * od nas wszystkich uwielbiony
Przenajświętszy Sakrament * ten niebieski testament"
Niechaj z nami będzie Pan;1;Pieśni przygodne;677;Es;1/1/0/0/0/0;"1.
Niechaj z nami będzie Pan, Alleluja
Niech obroną będzie nam, Alleluja
2.
Jego Słowo zawsze trwa, Alleluja
Wieczną prawdę w sobie ma, Alleluja
3.
Chcemy zgłębiać Słowa treść, Alleluja
Braciom je radośnie nieść, Alleluja
4.
Chcemy Nim na co dzień żyć, Alleluja
I w przyjaźni z Bogiem być, Alleluja
5.
Źródło życia, Panie nasz, Alleluja
Ty nam wieczne życie dasz, Alleluja
6.
Prowadź wśród zawiłych dróg, Alleluja
W Trójcy Świętej Jeden Bóg, Alleluja"
Nowy rok bieży;6;Pieśni na Boże Narodzenie;687;C;0/0/0/0/0/0;"1.
Nowy rok bieży, w jasełkach leży: a kto, kto?
=Dzieciątko małe, dajcie Mu chwałę na ziemi.
2.
Leży Dzieciątko jako jagniątko, a gdzie, gdzie?
=W Betlejem mieście, tam się pośpieszcie, znajdziecie.
3.
Jak Go poznamy, gdy Go nie znamy, Jezusa?
=Biednie uwity, nie w aksamity, ubogo.
4.
Anieli grają, wdzięcznie śpiewają: A co, co?
=Niech chwała będzie zawsze i wszędzie Dzieciątku.
5.
Królowie jadą z wielką gromadą, a skąd, skąd?
=Od wschodu słońca, szukają końca Zbawienia."
O Boże, dzięki Ci składamy;1;Pieśni mszalne;690;Es;0/0/0/1/1/0;"1.
O Boże, dzięki Ci składamy za ten wielki cud.
Za Twej miłości wieczny zamysł, by odkupić lud.
Tyś Syna swego dał, by człowiek życie miał.
On przyjął na się ludzkie ciało, jednym z nas się stał.
2.
Lecz nie dość było tej miłości, że wśród ludzi żył.
On w Eucharystii wśród nas gości, w Hostii tej się skrył.
Tu otwarł Serce swe i łaski wiernym śle,
On jest pokarmem naszych dusz i umocnieniem sił.
3.
Zawitaj, Jezu, drogi Gościu, źródło hojnych łask.
Ty nas gromadzisz w jeden Kościół, Ty jednoczysz nas.
Bądź siłą naszych dusz, ostoją pośród burz,
pozostań z nami w doczesności i po wieczny czas."
O gwiazdo betlejemska;6;Pieśni na Boże Narodzenie;700;Es;0/0/0/0/0/0;"1.
O gwiazdo betlejemska, zaświeć na niebie mym
Tak szukam Cię wśród nocy, tęsknię za światłem Twym
Zaprowadź do stajenki, leży tam Boży Syn
Bóg Człowiek z Panny Świętej, dany na okup win
2.
O nie masz Go już w szopce, nie masz Go w żłóbku tam
Więc gdzie pójdziemy, Chryste? Gdzie się ukryłeś nam?
Pójdziemy przed ołtarze, wzniecić miłości żar
I hołd Ci niski oddać, to jest nasz wszystek dar
3.
Ja nie wiem, o mój Panie, któryś miał w żłobie tron
Czy dusza moja biedna milsza Ci jest niż on
Ulituj się nade mną, błagać Cię kornie śmiem
Gdyś stajnią nie pogardził, nie gardź i sercem mym"
O Krwi najdroższa;7;Pieśni na Wielki Post;709;c;0/0/1/0/0/0;"1.
O Krwi najdroższa, o Krwi odkupienia
Napoju życia z nieba dla nas dany
O zdroju łaski, o ceno zbawienia
Ty grzechowe leczysz rany
2.
Tyś w Jezusowym kielichu zamknięta
Abyś nas wszystkich życiem napawała
Abyś dla świata, Krwi Boska prześwięta
Miłosierdzie wybłagała
3.
O Krwi najdroższa, przez serce przeczyste
Gdzie Twoje źródło miałaś na tej ziemi
Cześć Tobie niesiem, dzięki wiekuiste
Z aniołami, ze świętymi"
O mój Jezu w Hostii skryty;1;Pieśni do Najświętszego Sakramentu;726;Es;0/0/1/0/0/0;"1.
O mój Jezu w Hostii skryty
Na kolanach wielbię Cię
W postać chleba Tyś spowity
Bóstwo Twoje kryje się
Ty, co rządzisz całym światem
Me zbawienie w ręku masz
Tu przed Twoim Majestatem
Aniołowie kryją twarz
2.
O światłości przysłoniona
Rzuć mi Twój promienny blask
O Dobroci nieskończona
Otwórz dla nas skarby łask
Chlebie życia przeobfity
Nasyć duszy mojej głód
Boski ogniu tu zakryty
Rozgrzej serca mego chłód
3.
Jezu, Tyś jest Zbawicielem
Ustrzeż mnie od zgubnych dróg
Bądź mi siłą i weselem
Boś w tej Hostii żywy Bóg
Dla miłości Matki Twojej
Racz wysłuchać prośbę mą
Bądź miłością duszy mojej
Nie gardź moją cichą łzą"
O niewysłowione;4;Pieśni do Serca Jezusowego;727;F;0/0/1/0/0/0;"1.
O niewysłowione szczęście zajaśniało,
gdy Słowo Wcielone Serce swe nam dało.
*
Cud Boskiej miłości, o duszo ludzka, głoś;
ku wiecznej światłości dźwięki twej pieśni wznoś.
2.
Miłość świat ten cały w niebo przemieniła,
gdy w tej Hostii małej Serce Boże skryła
*
Cud Boskiej miłości, o duszo ludzka, głoś…
3.
Jako hołd wdzięczności serca Sercu dajmy,
w bólu i radości zawsze Je kochajmy. 
*
Cud Boskiej miłości, o duszo ludzka, głoś…
4.
A nam Serce Boże po cierpieniach w świecie
szczęścia wieczystego w raju wieniec splecie. 
*
Cud Boskiej miłości, o duszo ludzka, głoś…"
O Panie, Ty nam dajesz;1;Pieśni do Najświętszego Sakramentu;732;c;0/1/1/0/0/0;"1.
= O Panie, Ty nam dajesz Ciało swe i Krew =
Do Ciebie więc idziemy, wciąż radosną niosąc pieśń
*
= Ty jesteś Bogiem wiernym na wieczny czas
2.
= Przez dar Twojego chleba, dobry Boże nasz =
Rodzinę bratnią czynisz z nas, miłować uczysz nas
*
= Ty jesteś Bogiem wiernym na wieczny czas
3.
= To Twoje miłowanie dało wolność nam =
Chwalimy święte Imię Boga, jak uczyłeś nas
*
= Ty jesteś Bogiem wiernym na wieczny czas
4.
= Tyś nam wyznaczył drogę wiodącą na Twój szlak =
Idziemy więc, by radość nieść tam, gdzie jej światu brak
*
= Ty jesteś Bogiem wiernym na wieczny czas"
O Panie, Tyś moim pasterzem;1;Pieśni przygodne;733;D;1/1/1/0/0/0;"1.
O Panie, Tyś moim Pasterzem
Tak dobrym, że nic mi nie braknie
Do źródeł wód żywych mnie wiedziesz
Prostymi ścieżkami prowadzisz
*
Pasterzem moim jest Pan
I nie brak mi niczego
2.
Choć idę przez ciemną dolinę
Niczego nie muszę się trwożyć
Bo Pasterz mój zawsze jest przy mnie
W obronie mej stanąć gotowy
*
Pasterzem moim jest Pan…
3.
Do stołu swojego zaprasza
Na oczach mych wrogów to czyni
Olejkiem mą głowę namaszcza
A kielich napełnia obficie 
*
Pasterzem moim jest Pan…
4.
Twa łaska i dobroć podążą
W ślad za mną po dzień mój ostatni
Aż dotrę, o Panie, do domu
By z Tobą zamieszkać na zawsze 
*
Pasterzem moim jest Pan…"
O Stworzycielu Duchu;2;Pieśni do Ducha Świętego;745;G;0/0/0/0/0/0;"1.
*
O Stworzycielu, Duchu, przyjdź,
nawiedź dusz wiernych Tobie krąg, 
niebieską łaskę zesłać racz,
sercom co dziełem są Twych rąk.
2.
*
Pocieszycielem jesteś zwan
i Najwyższego Boga dar, 
Tyś namaszczenie naszych dusz,
zdrój żywy, miłość, ognia żar.
3.
Ty darzysz łaską siedemkroć,
bo moc z prawicy Ojca masz;
przez Ojca obiecany nam,
mową wzbogacasz język nasz.
4.
Światłem rozjaśnij naszą myśl,
w serca nam miłość świętą wlej 
i wątłą słabość naszych ciał
pokrzep stałością mocy swej.
5.
Nieprzyjaciela odpędź w dal
i Twym pokojem obdarz wraz; 
niech w drodze za przewodem Twym
miniemy zło, co kusi nas.
6.
*
Daj nam przez Ciebie Ojca znać,
daj, by i Syn poznany był 
i Ciebie, jedno Tchnienie Dwóch
niech wyznajemy z wszystkich sił.
*
7.
Niech Bogu Ojcu chwała brzmi,
Synowi, który zmartwychwstał, 
i Temu co pociesza nas,
niech hołd wieczystych płynie chwał.
*
Amen."
Ofiaruję Tobie;1;;769;C;0/1/0/0/0/0;"Ofiaruję Tobie, Panie mój
Całe życie me
Cały jestem Twój
Aż na wieki

Oto moje serce, przecież wiesz
Tyś miłością mą
Jedyną jest"
Ogrodzie Oliwny;7;Pieśni na Wielki Post;771;d;0/0/1/0/1/0;"1.
Ogrodzie Oliwny, widok w tobie dziwny!
Widzę Pana mego, na twarz upadłego.
Tęskoność, smutek, strach Go ściska!
Krwawy pot z Niego wyciska.
Ach, Jezu mdlejący, prawieś konający!
2.
Kielich gorzkiej męki z Ojca Twego Ręki.
Ochotnie przyjmujesz, za nas ofiarujesz.
Anioł Ci się z nieba zjawia,
O męce z Tobą rozprawia,
Ach, Jezu strwożony, przed męką zmęczony!
3.
Uczniowie posnęli, Ciebie zapomnieli,
Judasz zbrojne roty stawia przede wroty.
I wnet do Ogrójca wpada
z wodzem swych zbirów gromada.
Ach, Jezu kochany, przez ucznia sprzedany!
4.
Chociaż ze swym ludem obalony cudem,
Judasz z ziemi wstaje: ""Jezusa wydaję"".
Dopiero się nań rzucają,
Więzy, łańcuchy wkładają.
Ach, Jezu pojmany, za złoczyńcę miany!"
Ojcze z niebios;1;Pieśni przygodne;778;D;0/0/1/0/0/0;"1.
Ojcze z niebios, Boże Panie,
tu na ziemię ześlij nam,
Twoje święte zmiłowanie,
tu na ziemię ześlij nam.
2.
Boże wielki! My w pokorze
do Twych stóp garniemy się,
wola Twoja wszystko może,
Ty nad nami zlituj się.
3.
A przez Syna Twego mękę
ulżyj ludzkiej doli złej.
Każdą życia skróć udrękę,
Boże wielki, zlituj się."
Oto Pan Bóg przyjdzie;5;Pieśni na Adwent;789;D;1/0/0/0/0/do 16 grudnia;"Oto Pan Bóg przyjdzie • Z rzeszą Świętych nam przybędzie
Wielka światłość w dzień ów będzie • Alleluja, alleluja"
Otoczon gronem świętych;2;Pieśni na Wniebowstąpienie;796;B;1/0/0/0/1/0;"1.
Otoczon gronem świętych aniołów
Dziwiąc triumfem świat cały
Z pośrodka wiernych swych Apostołów
Wzniósł się do nieba Pan chwały
2.
Płakał i bolał nad grzesznym ludem
Nim prawdę w sercach odrodził
Nim zgładził grzechy odkupu cudem
I ludzi z Bogiem pogodził
3.
Wraca do Ojca jako Syn prawy
Słowo Przedwieczne, Bóg wielki
By Go na tronie mocy i sławy
Wielbił i kochał dusz wszelki"
Otrzyjcie już łzy;8;Pieśni na Wielkanoc;797;B;0/0/1/0/0/0;
Pan blisko jest;4;;806;d;0/1/0/0/0/0;"Pan blisko jest, oczekuj Go.
Pan blisko jest, w Nim serca moc!"
Pan Jezus już się zbliża;1;Pieśni do Najświętszego Sakramentu;812;A;0/0/1/0/0/0;"1.
Pan Jezus już się zbliża
Już puka do mych drzwi
Pobiegnę go przywitać
Z radości serce drży
*
O szczęście niepojęte
Bóg sam odwiedza mnie
O Jezu, wspomóż łaską
Bym godnie przyjął Cię
2.
Nie jestem godzien, Panie
Byś w sercu moim był
Tyś Królem wszego świata
A jam jest marny pył
*
O szczęście niepojęte…
3.
Gdy wspomnę na me grzechy
To z żalu [Ze żalu] płyną łzy
Bom Serce Twoje zranił
O Jezu, odpuść mi 
*
O szczęście niepojęte…
4.
Pragnąłbym Cię tak kochać
Jak Ty kochałeś mnie
Przyjm serce me oziębłe
A daj mi Serce Twe 
*
O szczęście niepojęte…"
Pan wieczernik przygotował;1;Pieśni do Najświętszego Sakramentu;819;C;0/0/1/0/0/0;"*
Pan wieczernik przygotował, swój zaprasza lud
Dla nas wszystkich dom otworzył i zastawił stół
**
1.
Przyjdźcie z ulic i opłotków, bowiem mija czas
Przyjdźcie chorzy i ubodzy, Pan uzdrowi was
*
Pan wieczernik przygotował…
2.
Każdy człowiek w domu Pańskim swoje miejsce ma
Niech nikogo w nim nie braknie, uczta Pańska trwa
*
Pan wieczernik przygotował…
3.
Przystępujmy z dziękczynieniem, pożywajmy chleb
Pijmy napój nieśmiertelnych, aby życie mieć
*
Pan wieczernik przygotował…
4.
Zakosztujcie i poznajcie tej Wieczerzy smak
Z obfitości boskich darów bierzcie pełnię łask
*
Pan wieczernik przygotował…
5.
Kto się z Panem tu spotyka tworzy jedno z Nim
Bóg z miłością go nazywa przyjacielem swym
*
Pan wieczernik przygotował…
6.
Nakarmieni Chlebem Żywym wznieśmy Panu pieśń
Bóg żyjący i prawdziwy strzeże naszych serc
*
Pan wieczernik przygotował…"
Pan zstąpił z nieba;1;Pieśni do Najświętszego Sakramentu;823;G;0/0/1/0/0/0;"1.
Pan zstąpił z nieba pod postacią Chleba
Choć skryty, bez świty, lecz prawy Bóg
Cichy, bez chwały, daje nam się cały
*
Padnijmy na kolana
Uczcijmy z niebios Pana
Z miłością, z czułością
Wiernych sług
2.
Jezus przychodzi, troski nam osłodzi
Więc bieżmy, więc spieszmy do jego stóp
On nas z ołtarza łaską swą obdarza
*
Padnijmy na kolana…"
Panie dobry jak chleb;1;Pieśni do Najświętszego Sakramentu;835;C;0/0/1/1/0/0;"*
Panie dobry jak chleb
Bądź uwielbiony od swego Kościoła
Bo Tyś do końca nas umiłował
Do końca nas umiłował
**
1.
Tyś na pustkowiu chleb rozmnożył, Panie
Byśmy do nieba w drodze nie ustali
Tyś stał się manną wędrowców przez ziemię
Dla tych co dotąd przy Tobie wytrwali
*
Panie dobry jak chleb…
2.
Ziarna zbierzemy, odrzucimy chwasty
Bo łan dojrzewa, pachnie świeżym chlebem
Niech ziemia nasza stanie się ołtarzem
A chleb Komunią dla spragnionych Ciebie 
*
Panie dobry jak chleb…
3.
Ty nas nazwałeś swymi przyjaciółmi
Jeśli spełnimy, co nam przykazałeś
Cóż my bez Ciebie, Panie, uczynimy
Tyś naszym Życiem i Oczekiwaniem 
*
Panie dobry jak chleb…"
Pieśnią wesela witamy;3;Pieśni ku czci NMP;856;B;1/0/0/0/0/0;"1.
Pieśnią wesela witamy
O Maryjo, miesiąc Twój
My Ci z serca cześć składamy
Ty nam otwórz łaski zdrój
W tym miesiącu ziemia cała
Życiem, wonią, wdziękiem lśni
=Wszędzie Twoja dźwięczy chwała
Gdy majowe płyną dni."
Po górach, dolinach;3;;861;F;0/0/1/0/1/0;"1.
Po górach, dolinach rozlega się dzwon,
Anielskie witanie ludziom głosi on:
*
Ave, ave, ave Maryja.
Zdrowaś, zdrowaś, zdrowaś Maryja.
2.
Bernadka dziewczynka szła po drzewo w las,
Anioł ją tam wiedzie, Bóg sam wybrał czas.
*
Ave, ave, ave Maryja….
3.
Modlitwę serdeczną szepczą usta jej,
„Zdrowaś bądź Panienko łaski na nas zlej”.
*
Ave, ave, ave Maryja….
4.
„Pokornej mej prośbie odpowiedź swą daj:
„Kto jesteś, o Pani, przed nami nie taj”.
*
Ave, ave, ave Maryja….
5.
Klęczącej Bernadce rzekła Pani ta:
„Poczęciem Niepokalanym jestem ja”.
*
Ave, ave, ave Maryja….
6.
O gwiazdo najświętsza, wiedź nas w niebios kraj,
Gdzie wieczną szczęśliwość, o Boże nam daj.
*
Ave, ave, ave Maryja…"
Po upadku;5;Pieśni na Adwent;862;B;0/0/0/0/0/IV niedziela;"1.
Po upadku człowieka grzesznego
użalił się Pan stworzenia swego. 
Zesłał na świat archanioła cnego.
2.
Idź do Panny, imię Jej Maryja, 
spraw poselstwo: „Zdrowaś, łaski pełna, 
Pan jest z Tobą, nie bądźże troskliwa”.
3.
Panna natenczas psałterz czytała, 
gdy pozdrowienie to usłyszała,
na słowa się anielskie zdumiała.
4.
Archanioł, widząc Pannę troskliwą, 
jął Ją cieszyć mową łagodliwą: 
„Panno, nie lękaj się, Pan jest z Tobą.
5.
Znalazłaś łaskę u Pana swego, 
Ty się masz stać Matką Syna Jego,
ta jest wola Boga Wszechmocnego”."
Pobłogosław, Jezu drogi;4;Pieśni do Serca Jezusowego;863;Es;0/0/0/0/1/0;"1.
Pobłogosław, Jezu drogi
Tym, co Serce Twe kochają
Niechaj skarb ten cenny, drogi
Na wiek wieków posiadają
2.
Za Twe łaski dziękujemy
Które Serce Twoje dało
W dani dusze Ci niesiemy
By nas Serce Twe kochało
3.
Trzykroć święte Serce Boga
Tobie śpiewa niebo całe
Ciebie wielbi Matka droga
Tobie lud Twój składa chwałę
4.
Nie opuszczaj nas, o Panie
Odpuść grzesznym liczne winy
Daj nam w Serca Twego ranie
Błogosławieństw zdrój jedyny"
Pod Twą obronę;1;Pieśni przygodne;870;B;1/0/0/0/1/0;"1.
Pod Twą obronę, Ojcze na niebie
Grono Twych dzieci swój powierza los
= Ty nam błogosław, ratuj w potrzebie
I broń od zguby, gdy zagraża cios
2.
Czy toń spokojna, czy szumią fale
Gdy Ty Twe dzieci w swej opiece masz
= Wznosimy modły dziś ku Twej chwale
Boś Ty nam tarczą, Boże Ojcze nasz"
O zbawcza Hostio;2;Nabożeństwa;1308;D;0/0/0/0/0/0;"1.
O zbawcza Hostio, godna czci
Co lud do niebios wiedziesz bram
Bój srogi nęka wiernych Ci
Daj siłę, pomoc ześlij nam
2.
Jednemu w Trójcy Władcy ziem
Niech będzie chwała w każdy czas
Niech On wieczystym życiem swym
W ojczyźnie rajskiej darzy nas
Amen"
Pod Twoją obronę;2;Nabożeństwa;;c;0/0/0/0/0/Majowe;"Pod Twoją obronę • uciekamy się • święta boża rodzicielko
Z naszymi prośbami • racz nie gardzić • w potrzebach naszych
Ale od wszelakich złych przygód • racz nas zawsze wybawiać • Panno chwalebna • i błogosławiona
O pani, o pani, o pani nasza • Orędowniczko nasza • Pośredniczko nasza • Pocieszycielko nasza
Z synem swoim nas pojednaj • Synowi swojemu nas polecaj • Swojemu synowi nas oddawaj
O pani, o pani, o pani nasza • Orędowniczko nasza • Pośredniczko nasza • Pocieszycielko nasza"
Posypmy głowy popiołem;7;Pieśni na Wielki Post;899;F;0/0/0/0/0/Posypanie głów;"1.
Posypmy głowy popiołem, * uderzmy przed Panem czołem;
zapustne śmiechy na stronę, * cierniową wijmy koronę.
2.
Posypmy głowy popiołem, * grzmi niebo głosem surowym:
„Pokutę czyńcie za grzechy, * na stronę teraz uciechy”.
3.
Posypmy głowy popiołem, * otoczmy Pana pospołem,
bo Pański sąd sprawiedliwy, * a dla grzesznika straszliwy.
4.
Posypmy głowy popiołem, * już Zbawca cierpieć gotowy
ponosić męki katusze, * by nasze odkupić dusze.
5.
Posypmy głowy popiołem, * o śmierci myślmy pospołem;
nim głosu Twego wezwanie * na sąd Twój stawi nas, Panie.
6.
Posypmy głowy popiołem, * z Chrystusem nieśmy krzyż społem,
abyśmy z nim zmartwychwstali * i hymn Mu chwały śpiewali."
Pójdź do Jezusa;1;Pieśni przygodne;876;G;0/1/1/0/0/0;"1.
Pójdź do Jezusa, do niebios bram
W nim tylko szukaj pociechy tam
On nas napoi krwią swoich ran
On Ojciec, lekarz, Pan
*
Słuchaj, Jezu, jak Cię błaga lud
Słuchaj, słuchaj, uczyń z nami cud
Przemień, o Jezu, smutny ten czas
O Jezu, pociesz nas
2.
Że z nami jesteś, pozwól to czuć
Nadzieję naszą omdlałą wzbudź
Daj przetrwać mężnie prób ciężki czas
O Jezu, pociesz nas
*
Słuchaj, Jezu, jak Cię błaga lud…"
Pójdźmy do Pana;1;Pieśni przygodne;878;B;1/0/0/0/0/0;"1.
Pójdźmy do Pana z winnym pokłonem
A złóżmy serca przed Jego tronem
Dobroć nam Jego, wszechmocność znana
Pójdźmy do Pana, pójdźmy do Pana
2.
Pan święty, mocny i nieśmiertelny
Jeden w Osobach Trzech, nierozdzielny
Moc, mądrość, miłość w Nim niezrównana
Pójdźmy do Pana, pójdźmy do Pana
3.
Bóg Stwórcą naszym, Ojcem i Panem
Wszelkim łaskawie zarządza stanem
Jego Opatrzność wszędzie widziana
Pójdźmy do Pana, pójdźmy do Pana"
Pójdźmy wszyscy do stajenki;6;Pieśni na Boże Narodzenie;879;F;0/0/0/0/0/0;"1.
Pójdźmy wszyscy do stajenki, * do Jezusa i Panienki!
=Powitajmy Maleńkiego * i Maryję Matkę Jego.
2.
Witaj, Jezu ukochany, * od patriarchów czekany, 
=od proroków ogłoszony, * od narodów upragniony.
3.
Witaj, Dzieciąteczko w żłobie, * wyznajemy Boga w Tobie. 
=Coś się narodził tej nocy, * byś nas wyrwał z czarta mocy.
4.
Witaj, Jezu nam zjawiony; * witaj, dwakroć narodzony, 
=raz z Ojca przed wieków wiekiem, * a teraz z Matki człowiekiem."
Przed tak wielkim Sakramentem;2;Nabożeństwa;920;A;0/0/0/0/0/0;"1.
Przed tak wielkim Sakramentem
upadajmy wszyscy wraz
Niech przed Nowym Testamentem
starych prawd ustąpi czas
Co dla zmysłów niepojęte
niech dopełni wiara w nas
2.
Bogu Ojcu i Synowi
hołd po wszystkie nieśmy dni
Niech podaje wiek wiekowi
hymn tryumfu, dzięki czci
A równemu Im Duchowi
niechaj wieczna chwała brzmi.
Amen."
Przybądź, Duchu Święty;2;Pieśni do Ducha Świętego;934;f;0/0/0/0/0/Sekwencja;"1.
Przybądź, Duchu Święty,
Ześlij z nieba wzięty
Światła Twego strumień.
Przyjdź, Ojcze ubogich,
Przyjdź, Dawco łask drogich,
Przyjdź, Światłości sumień.
2.
O, najmilszy z gości,
Słodka serc radości,
Słodkie orzeźwienie.
W pracy Tyś ochłodą,
W skwarze żywą wodą,
W płaczu utulenie.
3.
Światłości najświętsza,
Serc wierzących wnętrza
Poddaj Twej potędze.
Bez Twojego tchnienia,
Cóż jest wśród stworzenia?
Jeno cierń i nędze.
4.
Obmyj, co nieświęte,
Oschłym wlej zachętę,
Ulecz serca ranę.
Nagnij, co jest harde,
Rozgrzej serca twarde,
Prowadź zabłąkane.
5.
Daj Twoim wierzącym,
W Tobie ufającym,
Siedmiorakie dary.
Daj zasługę męstwa,
Daj wieniec zwycięstwa,
Daj szczęście bez miary."
Przybieżeli do Betlejem;6;Pieśni na Boże Narodzenie;938;C;0/0/0/0/0/0;"1.
Przybieżeli do Betlejem pasterze, * grając skocznie Dzieciąteczku na lirze.
*
Chwała na wysokości, chwała na wysokości, * a pokój na ziemi!
2.
Oddawali swe ukłony w pokorze * Tobie z serca ochotnego, o Boże!
*
Chwała na wysokości…
3.
Anioł Pański sam ogłosił te dziwy, * których oni nie słyszeli, jak żywi.
*
Chwała na wysokości…
4.
I anieli gromadami pilnują, * Panna czysta wraz z Józefem piastują.
*
Chwała na wysokości…
5.
Poznali Go Mesyjaszem być prawym, * narodzonym dzisiaj Panem łaskawym.
*
Chwała na wysokości…
6.
My Go także Bogiem, Zbawcą już znamy * i z całego serca wszyscy kochamy.
*
Chwała na wysokości…"
Przygotuję Ci serce;1;Pieśni mszalne;940;D;0/1/0/0/0/0;"1.
Przygotuję Ci serce, o Chryste
Przygotuję Ci serce niewinne
Takie jasne, radosne i czyste
Przygotuję Ci serce, o Chryste
2.
Przygotuję Ci serce ofiarne
Precz odrzucę, co kusi i wabi
Przygotuję nadzieją i wiarą
Przygotuję Ci serce ofiarą
3.
Przyozdobię Ci serce miłością
Taką wielką, co wszystko zwycięża
Abyś wstąpił do niego z radością
Przyozdobię Ci serce miłością
4.
Przyozdobię Ci serce dziecinne
Takie małe, tak biedne i słabe
A Ty wlejesz w nie siły swe dziwne
Kiedy wstąpisz w me serce niewinne
5.
Przygotuję Ci serce, mój Boże
Ja, stworzenie niegodne i grzeszne
Tobie troski, radości me złożę
Kiedy wstąpisz w me serce, o Boże"
